Date,Open,High,Low,Close,Adj Close,Volume
2017-09-20,29.0,32.63999938964844,27.90999984741211,31.780000686645508,31.780000686645508,10174600
2017-09-21,32.540000915527344,32.59000015258789,30.700000762939453,30.84000015258789,30.84000015258789,1573000
2017-09-22,30.65999984741211,33.400001525878906,30.600000381469727,32.15999984741211,32.15999984741211,1396500
2017-09-25,32.310001373291016,32.7400016784668,31.299999237060547,31.889999389648438,31.889999389648438,1005600
2017-09-26,31.920000076293945,32.09000015258789,31.450000762939453,32.0099983215332,32.0099983215332,366300
2017-09-27,32.11000061035156,32.93000030517578,31.93000030517578,32.0,32.0,703900
2017-09-28,31.940000534057617,32.81999969482422,31.809999465942383,32.220001220703125,32.220001220703125,439900
2017-09-29,32.099998474121094,32.349998474121094,31.950000762939453,32.0,32.0,797300
2017-10-02,31.969999313354492,31.969999313354492,31.5,31.549999237060547,31.549999237060547,122800
2017-10-03,31.639999389648438,32.16999816894531,31.399999618530273,32.0,32.0,406700
2017-10-04,32.0,32.400001525878906,31.56999969482422,32.15999984741211,32.15999984741211,247400
2017-10-05,32.099998474121094,32.470001220703125,31.34000015258789,32.08000183105469,32.08000183105469,204100
2017-10-06,32.22999954223633,32.45000076293945,32.06999969482422,32.310001373291016,32.310001373291016,112400
2017-10-09,32.79999923706055,34.119998931884766,32.79999923706055,33.29999923706055,33.29999923706055,695000
2017-10-10,33.54999923706055,33.90999984741211,33.04999923706055,33.869998931884766,33.869998931884766,258000
2017-10-11,33.709999084472656,34.0,33.11000061035156,33.599998474121094,33.599998474121094,148100
2017-10-12,33.66999816894531,34.70000076293945,32.790000915527344,33.0,33.0,337200
2017-10-13,33.0,34.0099983215332,33.0,33.939998626708984,33.939998626708984,159900
2017-10-16,33.560001373291016,33.560001373291016,32.849998474121094,33.18000030517578,33.18000030517578,618800
2017-10-17,32.7599983215332,32.880001068115234,30.059999465942383,32.52000045776367,32.52000045776367,510700
2017-10-18,32.52000045776367,32.88999938964844,32.02000045776367,32.279998779296875,32.279998779296875,130800
2017-10-19,31.760000228881836,32.16999816894531,30.540000915527344,30.809999465942383,30.809999465942383,421200
2017-10-20,30.559999465942383,31.540000915527344,29.899999618530273,30.100000381469727,30.100000381469727,326200
2017-10-23,30.0,30.68000030517578,29.649999618530273,29.780000686645508,29.780000686645508,236900
2017-10-24,29.739999771118164,30.46500015258789,29.639999389648438,30.1299991607666,30.1299991607666,90400
2017-10-25,30.0,30.149999618530273,29.309999465942383,30.0,30.0,149700
2017-10-26,30.030000686645508,30.209999084472656,29.469999313354492,30.059999465942383,30.059999465942383,76000
2017-10-27,29.829999923706055,30.0,29.170000076293945,29.670000076293945,29.670000076293945,111700
2017-10-30,29.65999984741211,30.0,29.257999420166016,29.950000762939453,29.950000762939453,44600
2017-10-31,29.799999237060547,30.850000381469727,29.600000381469727,30.799999237060547,30.799999237060547,241800
2017-11-01,30.690000534057617,30.959999084472656,29.844999313354492,30.579999923706055,30.579999923706055,194500
2017-11-02,30.329999923706055,30.479999542236328,29.670000076293945,29.690000534057617,29.690000534057617,140400
2017-11-03,29.760000228881836,30.0,29.31999969482422,29.850000381469727,29.850000381469727,79300
2017-11-06,29.950000762939453,30.420000076293945,29.610000610351562,29.899999618530273,29.899999618530273,44100
2017-11-07,29.809999465942383,30.0,28.90999984741211,29.059999465942383,29.059999465942383,137300
2017-11-08,28.81999969482422,29.850000381469727,28.010000228881836,29.34000015258789,29.34000015258789,183900
2017-11-09,29.149999618530273,29.56999969482422,28.989999771118164,29.239999771118164,29.239999771118164,133900
2017-11-10,29.280000686645508,29.399999618530273,28.329999923706055,28.649999618530273,28.649999618530273,133500
2017-11-13,28.420000076293945,28.770000457763672,28.170000076293945,28.299999237060547,28.299999237060547,113300
2017-11-14,28.350000381469727,29.0,28.010000228881836,28.540000915527344,28.540000915527344,181200
2017-11-15,28.469999313354492,28.60700035095215,28.0,28.290000915527344,28.290000915527344,139300
